Packet_Size,Request_Frequency,Connection_Duration,Failed_Logins,Data_Transfer
520,18,25,0,2100
610,22,35,1,2400
700,30,45,0,3000
800,35,50,1,3500
900,40,60,0,4000
1000,45,70,2,5000
1100,50,80,3,6000
1200,55,90,4,7000
1300,60,100,5,8000
1400,65,110,6,9000
1500,70,120,5,9500
1600,75,130,6,10000
1700,80,140,7,11000
1800,85,150,8,12000
1900,90,160,9,13000
2000,95,170,10,14000
550,20,30,0,2200
650,25,40,1,2600
750,28,48,0,2900
850,33,55,1,3400
950,38,65,0,3800
1050,42,75,2,4800
1150,48,85,3,5800
1250,53,95,4,6800
1350,58,105,5,7800
1450,63,115,6,8800
1550,68,125,5,9200
1650,73,135,6,9800
1750,78,145,7,10800
1850,83,155,8,11800
1950,88,165,9,12800
2050,93,175,10,13800
530,19,28,0,2150
630,23,38,1,2500
730,29,47,0,2950
830,34,52,1,3450
930,39,62,0,3900
1030,44,72,2,4900
1130,49,82,3,5900
1230,54,92,4,6900
1330,59,102,5,7900
1430,64,112,6,8900
1530,69,122,5,9400
1630,74,132,6,9900
1730,79,142,7,10900
1830,84,152,8,11900
1930,89,162,9,12900
2030,94,172,10,13900
540,21,32,0,2250
640,26,42,1,2650
740,31,50,0,3050
840,36,58,1,3550
940,41,68,0,3950
1040,46,78,2,4950
1140,51,88,3,5950
1240,56,98,4,6950
1340,61,108,5,7950
1440,66,118,6,8950
1540,71,128,5,9450
1640,76,138,6,9950
1740,81,148,7,10950
1840,86,158,8,11950
1940,91,168,9,12950
2040,96,178,10,13950
560,22,34,0,2300
660,27,44,1,2700
760,32,52,0,3100
860,37,60,1,3600
960,42,70,0,4000
1060,47,80,2,5000
1160,52,90,3,6000
1260,57,100,4,7000
1360,62,110,5,8000
1460,67,120,6,9000
1560,72,130,5,9500
1660,77,140,6,10000
1760,82,150,7,11000
1860,87,160,8,12000
1960,92,170,9,13000
2060,97,180,10,14000
570,23,36,0,2350
670,28,46,1,2750
770,33,54,0,3150
870,38,62,1,3650
970,43,72,0,4050
1070,48,82,2,5050
1170,53,92,3,6050
1270,58,102,4,7050
1370,63,112,5,8050
1470,68,122,6,9050
1570,73,132,5,9550
1670,78,142,6,10050
1770,83,152,7,11050
1870,88,162,8,12050
1970,93,172,9,13050
2070,98,182,10,14050
